,Unnamed: 0,layer,accuracy,precision,recall,f1-score,epoche,model,task,id
0,0.0,0,0.6170212765957447,0.6170212765957447,0.6170212765957447,0.6170212765957447,0,t5-large,sentence length,
1,1.0,1,0.5739978840954508,0.5739978840954508,0.5739978840954508,0.5739978840954508,0,t5-large,sentence length,
2,2.0,2,0.5507229340543082,0.5507229340543082,0.5507229340543082,0.5507229340543082,0,t5-large,sentence length,
3,3.0,3,0.5431997178793935,0.5431997178793935,0.5431997178793935,0.5431997178793935,0,t5-large,sentence length,
4,4.0,4,0.5313271423533561,0.5313271423533561,0.5313271423533561,0.5313271423533561,0,t5-large,sentence length,
5,5.0,5,0.5171035617726578,0.5171035617726578,0.5171035617726578,0.5171035617726578,0,t5-large,sentence length,
6,6.0,6,0.5024097801810274,0.5024097801810274,0.5024097801810274,0.5024097801810274,0,t5-large,sentence length,
7,7.0,0,0.6290114023745151,0.6290114023745151,0.6290114023745151,0.6290114023745151,100000,t5-large,sentence length,
8,8.0,1,0.6207828846832021,0.6207828846832021,0.6207828846832021,0.6207828846832021,100000,t5-large,sentence length,
9,9.0,2,0.6190196308922065,0.6190196308922065,0.6190196308922065,0.6190196308922065,100000,t5-large,sentence length,
10,10.0,3,0.6171388268484778,0.6171388268484778,0.6171388268484778,0.6171388268484778,100000,t5-large,sentence length,
11,11.0,4,0.6126719172446221,0.6126719172446221,0.6126719172446221,0.6126719172446221,100000,t5-large,sentence length,
12,12.0,5,0.6078523568825673,0.6078523568825673,0.6078523568825673,0.6078523568825673,100000,t5-large,sentence length,
13,13.0,6,0.5884565651816152,0.5884565651816152,0.5884565651816152,0.5884565651816152,100000,t5-large,sentence length,
14,14.0,0,0.6301869049018456,0.6301869049018456,0.6301869049018456,0.6301869049018456,200000,t5-large,sentence length,
15,15.0,1,0.6285412013635829,0.6285412013635829,0.6285412013635829,0.6285412013635829,200000,t5-large,sentence length,
16,16.0,2,0.634183613494769,0.634183613494769,0.634183613494769,0.634183613494769,200000,t5-large,sentence length,
17,17.0,3,0.6404137768896203,0.6404137768896203,0.6404137768896203,0.6404137768896203,200000,t5-large,sentence length,
18,18.0,4,0.6311273069237099,0.6311273069237099,0.6311273069237099,0.6311273069237099,200000,t5-large,sentence length,
19,19.0,5,0.6194898319031386,0.6194898319031386,0.6194898319031386,0.6194898319031386,200000,t5-large,sentence length,
20,20.0,6,0.6246620430233925,0.6246620430233925,0.6246620430233925,0.6246620430233925,200000,t5-large,sentence length,
21,21.0,0,0.6311273069237099,0.6311273069237099,0.6311273069237099,0.6311273069237099,300000,t5-large,sentence length,
22,22.0,1,0.6280710003526507,0.6280710003526507,0.6280710003526507,0.6280710003526507,300000,t5-large,sentence length,
23,23.0,2,0.6415892794169508,0.6415892794169508,0.6415892794169508,0.6415892794169508,300000,t5-large,sentence length,
24,24.0,3,0.6521688021629246,0.6521688021629246,0.6521688021629246,0.6521688021629246,300000,t5-large,sentence length,
25,25.0,4,0.6474667920536029,0.6474667920536029,0.6474667920536029,0.6474667920536029,300000,t5-large,sentence length,
26,26.0,5,0.6247795932761255,0.6247795932761255,0.6247795932761255,0.6247795932761255,300000,t5-large,sentence length,
27,27.0,6,0.631244857176443,0.631244857176443,0.631244857176443,0.631244857176443,300000,t5-large,sentence length,
28,28.0,0,0.6344187140002351,0.6344187140002351,0.6344187140002351,0.6344187140002351,400000,t5-large,sentence length,
29,29.0,1,0.6280710003526507,0.6280710003526507,0.6280710003526507,0.6280710003526507,400000,t5-large,sentence length,
30,30.0,2,0.6453508875044082,0.6453508875044082,0.6453508875044082,0.6453508875044082,400000,t5-large,sentence length,
31,31.0,3,0.6531092041847889,0.6531092041847889,0.6531092041847889,0.6531092041847889,400000,t5-large,sentence length,
32,32.0,4,0.6473492418008698,0.6473492418008698,0.6473492418008698,0.6473492418008698,400000,t5-large,sentence length,
33,33.0,5,0.6334783119783708,0.6334783119783708,0.6334783119783708,0.6334783119783708,400000,t5-large,sentence length,
34,34.0,6,0.6492300458445985,0.6492300458445985,0.6492300458445985,0.6492300458445985,400000,t5-large,sentence length,
35,35.0,0,0.6407664276478194,0.6407664276478194,0.6407664276478194,0.6407664276478194,500000,t5-large,sentence length,
36,36.0,1,0.6337134124838368,0.6337134124838368,0.6337134124838368,0.6337134124838368,500000,t5-large,sentence length,
37,37.0,2,0.6469965910426707,0.6469965910426707,0.6469965910426707,0.6469965910426707,500000,t5-large,sentence length,
38,38.0,3,0.6504055483719289,0.6504055483719289,0.6504055483719289,0.6504055483719289,500000,t5-large,sentence length,
39,39.0,4,0.6473492418008698,0.6473492418008698,0.6473492418008698,0.6473492418008698,500000,t5-large,sentence length,
40,40.0,5,0.6350064652639004,0.6350064652639004,0.6350064652639004,0.6350064652639004,500000,t5-large,sentence length,
41,41.0,6,0.6385329728458916,0.6385329728458916,0.6385329728458916,0.6385329728458916,500000,t5-large,sentence length,
42,42.0,0,0.6374750205712942,0.6374750205712942,0.6374750205712942,0.6374750205712942,600000,t5-large,sentence length,
43,43.0,1,0.6283061008581169,0.6283061008581169,0.6283061008581169,0.6283061008581169,600000,t5-large,sentence length,
44,44.0,2,0.6446455859880099,0.6446455859880099,0.6446455859880099,0.6446455859880099,600000,t5-large,sentence length,
45,45.0,3,0.6398260256259551,0.6398260256259551,0.6398260256259551,0.6398260256259551,600000,t5-large,sentence length,
46,46.0,4,0.6464088397790055,0.6464088397790055,0.6464088397790055,0.6464088397790055,600000,t5-large,sentence length,
