,id,layer,accuracy,precision,recall,f1-score,epoche
0,0,0,0.3088098558809856,0.3088098558809856,0.3088098558809856,0.3088098558809856,1000000
1,1,1,0.31415620641562064,0.31415620641562064,0.31415620641562064,0.31415620641562064,1000000
2,2,2,0.3298465829846583,0.3298465829846583,0.3298465829846583,0.3298465829846583,1000000
3,3,3,0.3369363086936309,0.3369363086936309,0.3369363086936309,0.3369363086936309,1000000
4,4,4,0.3423988842398884,0.3423988842398884,0.3423988842398884,0.3423988842398884,1000000
5,5,5,0.3414690841469084,0.3414690841469084,0.3414690841469084,0.3414690841469084,1000000
6,6,6,0.3413528591352859,0.3413528591352859,0.3413528591352859,0.3413528591352859,1000000
7,0,0,0.3186889818688982,0.3186889818688982,0.3186889818688982,0.3186889818688982,900000
8,1,1,0.3206648070664807,0.3206648070664807,0.3206648070664807,0.3206648070664807,900000
9,2,2,0.3272896327289633,0.3272896327289633,0.3272896327289633,0.3272896327289633,900000
10,3,3,0.3410041841004184,0.3410041841004184,0.3410041841004184,0.3410041841004184,900000
11,4,4,0.34507205950720593,0.34507205950720593,0.34507205950720593,0.34507205950720593,900000
12,5,5,0.3383310088331009,0.3383310088331009,0.3383310088331009,0.3383310088331009,900000
13,6,6,0.3425151092515109,0.3425151092515109,0.3425151092515109,0.3425151092515109,900000
14,0,0,0.3157833565783357,0.3157833565783357,0.3157833565783357,0.3157833565783357,800000
15,1,1,0.32217573221757323,0.32217573221757323,0.32217573221757323,0.32217573221757323,800000
16,2,2,0.3284518828451883,0.3284518828451883,0.3284518828451883,0.3284518828451883,800000
17,3,3,0.33589028358902834,0.33589028358902834,0.33589028358902834,0.33589028358902834,800000
18,4,4,0.3479776847977685,0.3479776847977685,0.3479776847977685,0.3479776847977685,800000
19,5,5,0.3389121338912134,0.3389121338912134,0.3389121338912134,0.3389121338912134,800000
20,6,6,0.34321245932124594,0.34321245932124594,0.34321245932124594,0.34321245932124594,800000
21,0,0,0.31613203161320313,0.31613203161320313,0.31613203161320313,0.31613203161320313,700000
22,1,1,0.3190376569037657,0.3190376569037657,0.3190376569037657,0.3190376569037657,700000
23,2,2,0.32380288238028826,0.32380288238028826,0.32380288238028826,0.32380288238028826,700000
24,3,3,0.33623895862389586,0.33623895862389586,0.33623895862389586,0.33623895862389586,700000
25,4,4,0.34483960948396103,0.34483960948396103,0.34483960948396103,0.34483960948396103,700000
26,5,5,0.344607159460716,0.344607159460716,0.344607159460716,0.344607159460716,700000
27,6,6,0.3380985588098559,0.3380985588098559,0.3380985588098559,0.3380985588098559,700000
28,0,0,0.31531845653184565,0.31531845653184565,0.31531845653184565,0.31531845653184565,600000
29,1,1,0.31624825662482564,0.31624825662482564,0.31624825662482564,0.31624825662482564,600000
30,2,2,0.3328684332868433,0.3328684332868433,0.3328684332868433,0.3328684332868433,600000
31,3,3,0.3368200836820084,0.3368200836820084,0.3368200836820084,0.3368200836820084,600000
32,4,4,0.34414225941422594,0.34414225941422594,0.34414225941422594,0.34414225941422594,600000
33,5,5,0.34309623430962344,0.34309623430962344,0.34309623430962344,0.34309623430962344,600000
34,6,6,0.3386796838679684,0.3386796838679684,0.3386796838679684,0.3386796838679684,600000
35,0,0,0.3095072059507206,0.3095072059507206,0.3095072059507206,0.3095072059507206,500000
36,1,1,0.31392375639237563,0.31392375639237563,0.31392375639237563,0.31392375639237563,500000
37,2,2,0.32450023245002324,0.32450023245002324,0.32450023245002324,0.32450023245002324,500000
38,3,3,0.3365876336587634,0.3365876336587634,0.3365876336587634,0.3365876336587634,500000
39,4,4,0.3387959088795909,0.3387959088795909,0.3387959088795909,0.3387959088795909,500000
40,5,5,0.3412366341236634,0.3412366341236634,0.3412366341236634,0.3412366341236634,500000
41,6,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,500000
42,0,0,0.31520223152022314,0.31520223152022314,0.31520223152022314,0.31520223152022314,400000
43,1,1,0.3170618317061832,0.3170618317061832,0.3170618317061832,0.3170618317061832,400000
44,2,2,0.32694095769409576,0.32694095769409576,0.32694095769409576,0.32694095769409576,400000
45,3,3,0.3281032078103208,0.3281032078103208,0.3281032078103208,0.3281032078103208,400000
