,id,layer,accuracy,precision,recall,f1-score,epoche
0,0,0,0.7794821450484722,0.7968467304212975,0.7530532486565706,0.774331282180083,1000000
1,1,1,0.795557737145662,0.8064109035840484,0.7804103566194431,0.7931976166832175,1000000
2,2,2,0.803043318198552,0.8135550516502897,0.7887151929653151,0.8009425772045144,1000000
3,3,3,0.8067247515032521,0.8191031162908539,0.7896922325354176,0.8041288396965551,1000000
4,4,4,0.8248864891397718,0.8322950411163718,0.815828041035662,0.8239792771678798,1000000
5,5,5,0.8266044913486318,0.8333747823924397,0.8185148998534441,0.8258780036968577,1000000
6,6,6,0.8267272057921218,0.8324243926623699,0.8202247191011236,0.8262795275590552,1000000
7,0,0,0.7760461406307523,0.7942931258106355,0.7479237909135319,0.7704113724996854,900000
8,1,1,0.7900355871886121,0.8009598383430159,0.7745481191988276,0.7875325965478703,900000
9,2,2,0.795925880476132,0.8079554091715226,0.7789447972642892,0.7931849272478547,900000
10,3,3,0.8066020370597621,0.8172883064516129,0.7921348314606742,0.8045150086827091,900000
11,4,4,0.8288133513314517,0.8311656441717792,0.8273082559843674,0.8292324641939038,900000
12,5,5,0.8293042091054117,0.8341161928306551,0.8241328773815342,0.8290944833517631,900000
13,6,6,0.8288133513314517,0.8334568816407215,0.8238886174890083,0.8286451295909594,900000
14,0,0,0.7785004295005522,0.7987470634299139,0.7474352711284807,0.7722397476340693,800000
15,1,1,0.7812001472573322,0.7943949044585987,0.7616023448949683,0.7776530739493703,800000
16,2,2,0.796784881580562,0.8112870275791624,0.7760136785539814,0.7932584269662921,800000
17,3,3,0.8040250337464719,0.8166370783667258,0.7865168539325843,0.8012940151797935,800000
18,4,4,0.8258682046876917,0.83213310156444,0.8185148998534441,0.8252678241595862,800000
19,5,5,0.8311449257577617,0.8365527488855871,0.8251099169516365,0.8307919331037875,800000
20,6,6,0.8291814946619217,0.8322675848499754,0.8265754763067904,0.8294117647058823,800000
21,0,0,0.7756779973002822,0.7938278008298755,0.7476795310210064,0.770062893081761,700000
22,1,1,0.7843907227880722,0.7971014492753623,0.7657547630679042,0.7811137411237075,700000
23,2,2,0.7960485949196221,0.8044566850275413,0.7848070346849048,0.7945103857566765,700000
24,3,3,0.8058657503988219,0.8135297054418372,0.7960429897410846,0.8046913580246913,700000
25,4,4,0.8177690514173518,0.8240993788819876,0.8102100635075721,0.8170957014410641,700000
26,5,5,0.8204687691741318,0.8196840826245444,0.8238886174890083,0.8217809721037885,700000
27,6,6,0.8239047735918518,0.8251406211787723,0.8241328773815342,0.8246364414029084,700000
28,0,0,0.7764142839612223,0.7953718148725949,0.7471910112359551,0.7705289672544081,600000
29,1,1,0.7863541538839122,0.8006644518272426,0.7652662432828531,0.7825652554015237,600000
30,2,2,0.7945760215977421,0.8047858942065491,0.7804103566194431,0.7924107142857143,600000
31,3,3,0.8007117437722421,0.8061477441745166,0.794333170493405,0.8001968503937008,600000
32,4,4,0.8104061848079519,0.8132219218481199,0.8082559843673669,0.8107313487688349,600000
33,5,5,0.8198551969566819,0.8226044226044226,0.8177821201758672,0.8201861832435079,600000
34,6,6,0.8221867713829918,0.8209172530939093,0.8263312164142648,0.8236153377967135,600000
35,0,0,0.7674561295864524,0.7850661135597615,0.7396189545676601,0.7616651993459943,500000
36,1,1,0.7777641428396123,0.7903841261765454,0.7589154860771862,0.7743302180685359,500000
37,2,2,0.7863541538839122,0.8011261837727156,0.7645334636052759,0.7824021997250343,500000
38,3,3,0.7994845993373421,0.8082706766917294,0.7877381533952125,0.7978723404255319,500000
39,4,4,0.8093017548165419,0.8168662674650699,0.7997068881289692,0.8081955072821525,500000
40,5,5,0.8160510492084918,0.8193453113462958,0.8131411822178798,0.8162314576437416,500000
41,6,6,0.8229230580439317,0.8268803945745993,0.8190034196384953,0.8229230580439317,500000
42,0,0,0.7661062707080624,0.7841558441558442,0.7374206155349292,0.7600704934541793,400000
43,1,1,0.7748189961958523,0.7880642693190513,0.7547630679042501,0.7710542732376793,400000
44,2,2,0.7819364339182722,0.7941101802487941,0.7640449438202247,0.7787875015560811,400000
45,3,3,0.790894588293042,0.7997992975413949,0.7787005373717636,0.7891089108910891,400000
46,4,4,0.8035341759725121,0.8107703814510098,0.794333170493405,0.8024676125848242,400000
47,5,5,0.8124923303472819,0.8169466403162056,0.8077674645823156,0.8123311225743061,400000
48,6,6,0.8149466192170819,0.8166013712047012,0.8146067415730337,0.8156028368794326,400000
49,0,0,0.7608295496379924,0.7766314160433325,0.7354665363947241,0.7554886463429934,300000
50,1,1,0.7683151306908823,0.7836934156378601,0.7442598925256473,0.7634678025557505,300000
51,2,2,0.7827954350227022,0.7922535211267606,0.7694186614557891,0.7806691449814126,300000
52,3,3,0.7921217327279421,0.7989536621823617,0.7833414753297508,0.7910705476073014,300000
53,4,4,0.8020616026506321,0.8071304778410497,0.7962872496336102,0.8016721996803148,300000
54,5,5,0.8037796048594921,0.8043425225664796,0.8053248656570591,0.80483339436104,300000
55,6,6,0.8151920481040619,0.8177799607072691,0.8133854421104054,0.8155767817781043,300000
56,0,0,0.7496625352804025,0.7708333333333334,0.7139716658524671,0.7413137205173727,200000
57,1,1,0.7616885507424224,0.7787564766839378,0.7342452369320958,0.7558461151621826,200000
58,2,2,0.7713829917781323,0.7850753897265526,0.7503663898387885,0.7673285874859498,200000
59,3,3,0.7884402994232421,0.8006088280060882,0.7708842208109429,0.7854654056744649,200000
60,4,4,0.8008344582157322,0.8109740750062925,0.7870053737176356,0.7988099665303087,200000
